Cod_Ibge;Localidade;Setor;Ano;Valor
3500105;Adamantina;Serviços (exceto administração pública);2019;R$693.468.141
3500204;Adolfo;Serviços (exceto administração pública);2019;R$38.368.180
3500303;Aguaí;Serviços (exceto administração pública);2019;R$380.005.194
3500402;Águas da Prata;Serviços (exceto administração pública);2019;R$90.024.079
3500501;Águas de Lindóia;Serviços (exceto administração pública);2019;R$356.668.833
3500550;Águas de Santa Bárbara;Serviços (exceto administração pública);2019;R$69.095.097
3500600;Águas de São Pedro;Serviços (exceto administração pública);2019;R$102.557.797
3500709;Agudos;Serviços (exceto administração pública);2019;R$736.187.629
3500758;Alambari;Serviços (exceto administração pública);2019;R$34.419.285
3500808;Alfredo Marcondes;Serviços (exceto administração pública);2019;R$32.536.251
3500907;Altair;Serviços (exceto administração pública);2019;R$21.992.369
3501004;Altinópolis;Serviços (exceto administração pública);2019;R$257.277.949
3501103;Alto Alegre;Serviços (exceto administração pública);2019;R$36.904.230
3501152;Alumínio;Serviços (exceto administração pública);2019;R$472.876.580
3501202;Álvares Florence;Serviços (exceto administração pública);2019;R$27.865.497
3501301;Álvares Machado;Serviços (exceto administração pública);2019;R$269.038.455
3501400;Álvaro de Carvalho;Serviços (exceto administração pública);2019;R$18.912.589
3501509;Alvinlândia;Serviços (exceto administração pública);2019;R$17.076.967
3501608;Americana;Serviços (exceto administração pública);2019;R$6.267.577.743
3501707;Américo Brasiliense;Serviços (exceto administração pública);2019;R$393.125.558
3501806;Américo de Campos;Serviços (exceto administração pública);2019;R$41.686.274
3501905;Amparo;Serviços (exceto administração pública);2019;R$1.594.384.791
3502002;Analândia;Serviços (exceto administração pública);2019;R$58.145.860
3502101;Andradina;Serviços (exceto administração pública);2019;R$1.082.584.190
3502200;Angatuba;Serviços (exceto administração pública);2019;R$362.365.654
3502309;Anhembi;Serviços (exceto administração pública);2019;R$40.762.532
3502408;Anhumas;Serviços (exceto administração pública);2019;R$22.411.543
3502507;Aparecida;Serviços (exceto administração pública);2019;R$882.534.413
3502606;Aparecida d'Oeste;Serviços (exceto administração pública);2019;R$37.096.226
3502705;Apiaí;Serviços (exceto administração pública);2019;R$214.131.899
3502754;Araçariguama;Serviços (exceto administração pública);2019;R$1.840.227.916
3502804;Araçatuba;Serviços (exceto administração pública);2019;R$5.239.118.297
3502903;Araçoiaba da Serra;Serviços (exceto administração pública);2019;R$383.727.689
3503000;Aramina;Serviços (exceto administração pública);2019;R$78.858.800
3503109;Arandu;Serviços (exceto administração pública);2019;R$43.619.490
3503158;Arapeí;Serviços (exceto administração pública);2019;R$14.261.013
3503208;Araraquara;Serviços (exceto administração pública);2019;R$6.094.081.973
3503307;Araras;Serviços (exceto administração pública);2019;R$3.312.931.400
3503356;Arco-Íris;Serviços (exceto administração pública);2019;R$10.538.203
3503406;Arealva;Serviços (exceto administração pública);2019;R$86.471.350
3503505;Areias;Serviços (exceto administração pública);2019;R$18.174.062
3503604;Areiópolis;Serviços (exceto administração pública);2019;R$60.748.000
3503703;Ariranha;Serviços (exceto administração pública);2019;R$426.600.200
3503802;Artur Nogueira;Serviços (exceto administração pública);2019;R$569.031.840
3503901;Arujá;Serviços (exceto administração pública);2019;R$3.943.630.669
3503950;Aspásia;Serviços (exceto administração pública);2019;R$10.076.329
3504008;Assis;Serviços (exceto administração pública);2019;R$2.202.843.781
3504107;Atibaia;Serviços (exceto administração pública);2019;R$3.546.515.284
3504206;Auriflama;Serviços (exceto administração pública);2019;R$171.629.816
3504305;Avaí;Serviços (exceto administração pública);2019;R$68.615.226
3504404;Avanhandava;Serviços (exceto administração pública);2019;R$106.318.562
3504503;Avaré;Serviços (exceto administração pública);2019;R$1.605.438.386
3504602;Bady Bassitt;Serviços (exceto administração pública);2019;R$227.201.042
3504701;Balbinos;Serviços (exceto administração pública);2019;R$11.729.804
3504800;Bálsamo;Serviços (exceto administração pública);2019;R$103.513.923
3504909;Bananal;Serviços (exceto administração pública);2019;R$88.863.819
3505005;Barão de Antonina;Serviços (exceto administração pública);2019;R$19.849.746
